pipeline_id,pipeline_label,line_no,stage,equation,assumption,has_one_plus_z,one_plus_z_role,introduces_geometry_factor,note
snia_salt2,SNe Ia (SALT2): photometry -> D_L,1,fit observables,"(m_B^*, x_1, c) <- SALT2 light-curve fit","Empirical template fit for apparent magnitude, stretch, color.",False,none,False,Distance not computed yet.
snia_salt2,SNe Ia (SALT2): photometry -> D_L,2,standardization,mu_SN = m_B^* - M_B + alpha*x_1 - beta*c + Delta_M + Delta_B,Standardizable-candle relation with nuisance calibration terms.,False,none,False,No D_A / D_M appears explicitly.
snia_salt2,SNe Ia (SALT2): photometry -> D_L,3,distance conversion,D_L[Mpc] = 10^((mu_SN - 25)/5),Definition of distance modulus.,False,none,False,Pure luminosity-distance conversion.
snia_salt2,SNe Ia (SALT2): photometry -> D_L,4,rest-frame remapping,t_rest = t_obs/(1+z),Rest-frame light-curve phase uses redshift time-dilation mapping.,True,timing_restframe,False,"(1+z) enters as timing/flux-side mapping, not D_A geometry conversion."
bao_anisotropic,"BAO anisotropic: angular/redshift scales -> D_M, D_H",1,anisotropic fit,"alpha_perp = (D_M/r_d)/(D_M_fid/r_d_fid), alpha_par = (D_H/r_d)/(D_H_fid/r_d_fid)",Compressed BAO constraints are defined relative to a fiducial cosmology.,False,none,False,Primary compressed observables can be written in D_M/r_d and D_H/r_d.
bao_anisotropic,"BAO anisotropic: angular/redshift scales -> D_M, D_H",2,distance publication,D_A = D_M/(1+z),FRW geometric conversion from transverse comoving distance to angular-diameter distance.,True,geometry_DA_from_DM,True,This is the explicit insertion point of the expansion-side (1+z) factor.
bao_anisotropic,"BAO anisotropic: angular/redshift scales -> D_M, D_H",3,isotropic compression,D_V = [(1+z)^2 * D_A^2 * c*z/H(z)]^(1/3) = [D_M^2 * c*z/H(z)]^(1/3),Volume distance expression inherits the same D_A <-> D_M conversion.,True,geometry_DA_from_DM,True,"Even if D_A is eliminated algebraically, the geometric conversion is assumed."
ddr_combined,DDR combined (SNe Ia + BAO): eta construction,1,definition,eta = D_L / ((1+z)^2 * D_A),Standard DDR definition used in many published constraints.,True,definition,False,Contains two redshift factors before pipeline substitution.
ddr_combined,DDR combined (SNe Ia + BAO): eta construction,2,BAO substitution,if D_A = D_M/(1+z): eta = D_L / ((1+z)*D_M),BAO-side conversion introduces one geometric (1+z) directly into eta.,True,geometry_DA_from_DM,True,This is the exact place where the hidden geometry-side factor appears in combined DDR tests.
ddr_combined,DDR combined (SNe Ia + BAO): eta construction,3,P-model audit split,eta^(P) = D_L / ((1+z)*D_A) (flux-side only divided out),Separate flux-side redshift factor from geometry-side conversion in the audit layer.,True,flux_or_timing_side,False,Used to avoid mixing physical redshift effects with D_A convention.
