sample_id,type,doping,rho_23C_ohm_cm,dlnrho_dT_23C_per_K_proxy,pct_per_K_proxy,rho_20C_ohm_cm,rho_30C_ohm_cm
sample_001,p,B,0.0007761,0.001759049015699965,0.1759049015699965,0.000772,0.0007857000000000001
sample_031,n,,0.001071,0.0017683103856065863,0.17683103856065863,0.001065,0.0010840000000000001
sample_020,p,B,0.01076,0.00027868109071800263,0.027868109071800262,0.01075,0.010780000000000001
sample_002,p,B,0.014570000000000001,0.0002743485945750912,0.02743485945750912,0.01456,0.0146
sample_021,p,B,0.01462,0.00020512827705569946,0.020512827705569947,0.014610000000000001,0.01464
sample_022,p,B,0.028900000000000002,0.0007599345725388229,0.07599345725388229,0.02884,0.029060000000000002
sample_013,n,,0.0546,0.0034561460977521998,0.34561460977521996,0.054029999999999995,0.05593
sample_014,n,,0.08794,0.004507805431799161,0.45078054317991606,0.08675000000000001,0.09075
sample_032,n,,0.08868000000000001,0.004526165019972428,0.4526165019972428,0.08747,0.09151999999999999
sample_016,n,,0.191,0.005798725765034929,0.5798725765034929,0.1876,0.1988
sample_005,p,B,0.22599999999999998,0.0038635182628690814,0.3863518262869081,0.22340000000000002,0.23220000000000002
sample_023,p,B,0.25320000000000004,0.005391930946770085,0.5391930946770085,0.24910000000000002,0.2629
sample_017,n,,0.4739,0.006807330476793816,0.6807330476793816,0.46420000000000006,0.49690000000000006
sample_025,p,Al,0.7189000000000001,0.006006614652278591,0.6006614652278591,0.7059000000000001,0.7496
sample_008,p,B,0.9549,0.0019562803657643506,0.19562803657643507,0.9567000000000001,0.9756
sample_027,p,B,1.585,0.007396971374854277,0.7396971374854278,1.55,1.669
sample_028,p,B,4.85,0.007934390130383773,0.7934390130383773,4.735,5.126
sample_018,n,,8.959,0.008105422587255351,0.8105422587255351,8.741,9.479
sample_035,n,,8.962,0.008123841732892156,0.8123841732892156,8.744,9.484
sample_029,p,B,100.49999999999999,0.008432723548705834,0.8432723548705834,105.69999999999999,114.99999999999999
sample_030,p,B,1159.0,0.009571413860602096,0.9571413860602096,1125.0,1238.0
