low_hz,high_hz,ratio_raw,ratio_detrended,raw_ge_threshold,detrended_ge_threshold
8000,80000,0.665768,0.6741,False,False
8000,100000,2.624867,2.660921,True,True
8000,120000,3.237221,3.28492,True,True
8000,150000,1.051064,1.067837,True,True
10000,80000,0.213208,0.215616,False,False
10000,100000,0.840595,0.851115,False,False
10000,120000,1.036697,1.050705,True,True
10000,150000,0.336596,0.341555,False,False
12000,80000,0.127224,0.128534,False,False
12000,100000,0.501594,0.507371,False,False
12000,120000,0.618611,0.626352,False,False
12000,150000,0.200851,0.20361,False,False
15000,80000,0.24717,0.249415,False,False
15000,100000,0.974495,0.984532,False,False
15000,120000,1.201835,1.215409,True,True
15000,150000,0.390213,0.395096,False,False
