A_band,n,median_ratio_collective,p16_ratio_collective,p84_ratio_collective,sigma_log10_ratio_collective,outlier_abs_z_gt3_n,outlier_abs_z_gt3_frac
2-29,187,0.628211696167118,0.4068979211475405,1.1110544432768577,0.335914363198824,80,0.42780748663101603
30-59,366,0.24335508425452987,0.20018977327638177,0.339965699849751,0.10588001198205453,0,0.0
60-89,418,0.1398158451255121,0.11775381217392134,0.1689161233024417,0.068215612820392,0,0.0
90-119,465,0.09098958367802422,0.08221278401616243,0.10527561740488696,0.04752509975393737,0,0.0
120-149,517,0.06728811248168459,0.06091664767489404,0.07429549205568345,0.038204614703261745,0,0.0
150-179,508,0.050213271652531886,0.04590430855827949,0.05506975695938199,0.03482179994656134,0,0.0
180-209,397,0.04064933475846692,0.037185205655255814,0.04288557496117445,0.02795810027553911,0,0.0
210-239,342,0.03207937065844592,0.029623894079812346,0.03402186600948171,0.029266512511970863,0,0.0
240-269,234,0.02606212445859553,0.024487493936049848,0.02782801986177867,0.024936886996403826,0,0.0
270-299,120,0.02232288680813376,0.02123447517530563,0.023223120415684792,0.016947982168561606,0,0.0
